time_mark;time;input;words;length;iteration;execution_time
1560710269.1592772;2019.06.16 21:37:49;приветвсем;['привет', 'всем'];356;1;0.030437469482421875
1560710269.252492;2019.06.16 21:37:49;интересныедела;['интересные', 'дела'];318;1;0.09371089935302734
1560710269.3234527;2019.06.16 21:37:49;ногтитропарево;['ногти', 'тропарево'];384;1;0.0704646110534668
1560710269.5725174;2019.06.16 21:37:49;тропарево-никулино;['тропаревоникулино'];0;3;0.24906468391418457
1560710269.634517;2019.06.16 21:37:49;лялял;['ляля', 'л'];3875;1;0.062496185302734375
1560710269.6672554;2019.06.16 21:37:49;новыйгод;['новый', 'год'];157;1;0.0322418212890625
1560710269.6948073;2019.06.16 21:37:49;нвыйгод;['нвый', 'год'];14;3;0.026560544967651367
1560710269.7238386;2019.06.16 21:37:49;старыйгд;['старый', 'гд'];22;1;0.02903127670288086
1560710269.7565238;2019.06.16 21:37:49;старйгод;['стар', 'й', 'год'];138;1;0.032189369201660156
1560710269.8403456;2019.06.16 21:37:49;интересно;['интересно'];22;1;0.08382177352905273
1560710269.8899794;2019.06.16 21:37:49;финансовыйуниверситет;['финансовый', 'университет'];23;1;0.04963374137878418
1560710269.92718;2019.06.16 21:37:49;финашка;['финашка'];1;3;0.0372006893157959
1560710269.9881558;2019.06.16 21:37:49;нагайна;['нагай', 'на'];1785;1;0.06097579002380371
1560710270.0362666;2019.06.16 21:37:50;роулинг;['роулинг'];34;3;0.04761648178100586
1560710270.1905253;2019.06.16 21:37:50;играпрестолв;['игра', 'престол', 'в'];4191;1;0.1537632942199707
1560710270.3413055;2019.06.16 21:37:50;играпрестолв;['игра', 'престол', 'в'];4191;1;0.15078020095825195
1560710270.4841552;2019.06.16 21:37:50;играпрестолв;['игра', 'престол', 'в'];4191;1;0.14185667037963867
1560710270.5099459;2019.06.16 21:37:50;приветвсемфу;['привет', 'всем', 'фу'];371;1;0.024797677993774414
1560710270.523338;2019.06.16 21:37:50;привет;['привет'];26;1;0.012399911880493164
1560710270.5734339;2019.06.16 21:37:50;финансовыйуниверситет;['финансовый', 'университет'];23;1;0.05059194564819336
1560710270.7351317;2019.06.16 21:37:50;московскаявеснаакапелла;['московская', 'весна', 'а', 'капелла'];399;1;0.16120171546936035
1560710270.838302;2019.06.16 21:37:50;московскиесезоны;['московские', 'сезоны'];139;1;0.10317015647888184
1560710270.8531795;2019.06.16 21:37:50;диплом;['диплом'];10;3;0.014877557754516602
1560710270.8948421;2019.06.16 21:37:50;защитадиплома;['защита', 'диплома'];15;1;0.04166269302368164
