time_mark;time;input;words;length;iteration;execution_time
1560710317.0937176;2019.06.16 21:38:37;приветвсем;['привет', 'всем'];698;1;0.07047390937805176
1560710317.277692;2019.06.16 21:38:37;интересныедела;['интересные', 'дела'];644;1;0.1839745044708252
1560710317.421036;2019.06.16 21:38:37;ногтитропарево;['ногти', 'тропарево'];776;1;0.14284729957580566
1560710317.8634698;2019.06.16 21:38:37;тропарево-никулино;['тропаревоникулино'];0;3;0.4419376850128174
1560710317.9894526;2019.06.16 21:38:37;лялял;['ляля', 'л'];7783;1;0.12598276138305664
1560710318.0504594;2019.06.16 21:38:38;новыйгод;['новый', 'год'];289;1;0.06051015853881836
1560710318.0851815;2019.06.16 21:38:38;нвыйгод;['нвый', 'год'];27;2;0.0332338809967041
1560710318.1392837;2019.06.16 21:38:38;старыйгд;['старый', 'гд'];44;1;0.054102182388305664
1560710318.1908288;2019.06.16 21:38:38;старйгод;['стар', 'й', 'год'];270;1;0.051545143127441406
1560710318.3054402;2019.06.16 21:38:38;интересно;['интересно'];61;1;0.11411499977111816
1560710318.4100616;2019.06.16 21:38:38;финансовыйуниверситет;['финансовый', 'университет'];41;1;0.10462141036987305
1560710318.494877;2019.06.16 21:38:38;финашка;['финашка'];1;3;0.0843193531036377
1560710318.5935798;2019.06.16 21:38:38;нагайна;['нагай', 'на'];3700;1;0.09870266914367676
1560710318.6873252;2019.06.16 21:38:38;роулинг;['роулинг'];83;3;0.09374547004699707
1560710318.9566529;2019.06.16 21:38:38;играпрестолв;['игра', 'престол', 'в'];8409;1;0.2678408622741699
1560710319.3152597;2019.06.16 21:38:39;играпрестолв;['игра', 'престол', 'в'];8409;1;0.3581087589263916
1560710319.603477;2019.06.16 21:38:39;играпрестолв;['игра', 'престол', 'в'];8409;1;0.2861964702606201
1560710319.6584923;2019.06.16 21:38:39;приветвсемфу;['привет', 'всем', 'фу'];730;1;0.05302906036376953
1560710319.688253;2019.06.16 21:38:39;привет;['привет'];47;1;0.028272628784179688
1560710319.8202214;2019.06.16 21:38:39;финансовыйуниверситет;['финансовый', 'университет'];41;1;0.1314709186553955
1560710320.1242695;2019.06.16 21:38:40;московскаявеснаакапелла;['московская', 'весна', 'а', 'капелла'];790;1;0.3040480613708496
1560710320.3166862;2019.06.16 21:38:40;московскиесезоны;['московские', 'сезоны'];275;1;0.19241666793823242
1560710320.3340447;2019.06.16 21:38:40;диплом;['диплом'];16;3;0.017357587814331055
1560710320.3801725;2019.06.16 21:38:40;защитадиплома;['защита', 'диплома'];32;1;0.045632123947143555
1560710320.3811646;2019.06.16 21:38:40;егэ;['егэ'];1;3;0.0014882087707519531
1560710320.3816607;2019.06.16 21:38:40;огэ;['огэ'];0;3;0.0
1560710320.442669;2019.06.16 21:38:40;скороегэ;['скоро', 'егэ'];55;1;0.060512542724609375
1560710320.4912767;2019.06.16 21:38:40;экзамен;['экзамен'];53;2;0.048607826232910156
1560710320.891549;2019.06.16 21:38:40;проверочные;['проверочные'];7;3;0.4002723693847656
1560710321.331503;2019.06.16 21:38:41;проверочные;['проверочные'];7;3;0.4399538040161133
1560710321.351343;2019.06.16 21:38:41;шоппинг;['шоппинг'];160;1;0.019840002059936523
1560710321.3930066;2019.06.16 21:38:41;прошивдиплома;['прошив', 'диплома'];28;1;0.04166364669799805
1560710321.4202857;2019.06.16 21:38:41;подружки;['подружки'];395;1;0.026749610900878906
1560710321.6355834;2019.06.16 21:38:41;шоппинг_с_подружками;['шоппинг', 'с', 'подружками'];8170;1;0.21529769897460938
1560710321.6702695;2019.06.16 21:38:41;любовьвокругуже;['любовь', 'вокруг', 'уже'];199;1;0.03419041633605957
1560710321.8790858;2019.06.16 21:38:41;москвалюбмыйгород;['москва', 'люб', 'мый', 'город'];1941;1;0.2068321704864502
1560710321.9257429;2019.06.16 21:38:41;моква;['моква'];0;3;0.04616117477416992
1560710321.9758065;2019.06.16 21:38:41;мокса;['мокса'];1;3;0.050061702728271484
1560710322.1717255;2019.06.16 21:38:42;инетересные;['и', 'не', 'тересные'];1357;1;0.19542288780212402
1560710322.2773738;2019.06.16 21:38:42;странноэтовсе;['странно', 'это', 'все'];759;1;0.10564827919006348
1560710322.3304458;2019.06.16 21:38:42;нечеткийпоиск;['нечеткий', 'поиск'];28;1;0.05257558822631836
1560710322.538768;2019.06.16 21:38:42;нечеткийпоис;['нечеткий', 'по', 'и', 'с'];8495;1;0.20832443237304688
1560710322.6017578;2019.06.16 21:38:42;почемуплохойрезультат;['почему', 'плохой', 'результат'];50;1;0.062491655349731445
1560710322.7867994;2019.06.16 21:38:42;погодазашибись;['погода', 'зашибись'];17;2;0.18255972862243652
1560710322.9826884;2019.06.16 21:38:42;крутоодела;['круто', 'о', 'дела'];7736;1;0.19588899612426758
1560710323.0169098;2019.06.16 21:38:43;почемудолго;['почему', 'долго'];87;1;0.03422141075134277
1560710323.0397263;2019.06.16 21:38:43;тату;['тату'];244;1;0.020831584930419922
1560710323.3636148;2019.06.16 21:38:43;тропаревоноготочки;['тропарево', 'ноготочки'];15;2;0.32388854026794434
1560710323.5143988;2019.06.16 21:38:43;#инстаграм_порусски;['инстаграм', 'порусски'];20;1;0.15078401565551758
1560710323.5188622;2019.06.16 21:38:43;#я;['я'];350;1;0.0044634342193603516
1560710323.530304;2019.06.16 21:38:43;#любовь;['любовь'];46;1;0.011441707611083984
1560710323.6979613;2019.06.16 21:38:43;#инстаграм;['инстаграм'];22;2;0.16765737533569336
1560710323.8229456;2019.06.16 21:38:43;#россия;['россия'];2876;1;0.1249842643737793
1560710324.0649939;2019.06.16 21:38:44;#москва;['москва'];557;2;0.2420482635498047
